id,I05
SCCs,3
m,3
Lab info
id,Open_time,Working_time,Service_time
0,0,2000,10
SCCs info
id,k,Open_time,Collection_time,Service_time,TmaxSCC,Tmax2Lab,
1,2,282,495,10,180,440
2,2,340,375,10,180,380
3,2,60,815,10,180,600
TravelTime Matrix
i,j,time
0,0,0
0,1,22
0,2,21
0,3,55
1,0,22
1,1,0
1,2,12
1,3,53
2,0,21
2,1,12
2,2,0
2,3,60
3,0,55
3,1,53
3,2,60
3,3,0
Distance Matrix
i,j,Distance
0,0,0
0,1,11.89
0,2,17.48
0,3,60.46
1,0,11.89
1,1,0
1,2,11.8
1,3,78.5
2,0,17.48
2,1,11.8
2,2,0
2,3,92.32
3,0,60.46
3,1,78.5
3,2,92.32
3,3,0
