id,I31
SCCs,12
m,6
Lab info
id,Open_time,Working_time,Service_time
0,0,1440,10
SCCs info
id,k,Open_time,Collection_time,Service_time,TmaxSCC,Tmax2Lab,
1,3,435,480,10,180,345
2,3,435,450,10,180,338
3,2,480,210,10,180,300
4,2,210,660,10,180,525
5,2,465,210,10,180,300
6,1,345,90,10,180,300
7,2,345,630,10,180,510
8,4,405,555,10,180,325
9,4,390,540,10,180,320
10,2,90,780,10,180,585
11,4,375,570,10,180,330
12,5,360,765,10,180,338
TravelTime Matrix
i,j,time
0,0,0
0,1,8
0,2,15
0,3,33
0,4,3
0,5,14
0,6,18
0,7,8
0,8,3
0,9,19
0,10,7
0,11,30
0,12,11
1,0,8
1,1,0
1,2,9
1,3,30
1,4,9
1,5,15
1,6,15
1,7,10
1,8,9
1,9,15
1,10,13
1,11,32
1,12,13
2,0,15
2,1,9
2,2,0
2,3,32
2,4,14
2,5,20
2,6,18
2,7,14
2,8,14
2,9,16
2,10,16
2,11,36
2,12,16
3,0,33
3,1,30
3,2,32
3,3,0
3,4,32
3,5,37
3,6,19
3,7,32
3,8,31
3,9,23
3,10,32
3,11,54
3,12,25
4,0,3
4,1,9
4,2,14
4,3,32
4,4,0
4,5,13
4,6,16
4,7,6
4,8,0
4,9,18
4,10,7
4,11,29
4,12,11
5,0,14
5,1,15
5,2,20
5,3,37
5,4,13
5,5,0
5,6,23
5,7,12
5,8,13
5,9,25
5,10,14
5,11,25
5,12,18
6,0,18
6,1,15
6,2,18
6,3,19
6,4,16
6,5,23
6,6,0
6,7,17
6,8,17
6,9,8
6,10,20
6,11,39
6,12,15
7,0,8
7,1,10
7,2,14
7,3,32
7,4,6
7,5,12
7,6,17
7,7,0
7,8,6
7,9,18
7,10,13
7,11,30
7,12,14
8,0,3
8,1,9
8,2,14
8,3,31
8,4,0
8,5,13
8,6,17
8,7,6
8,8,0
8,9,18
8,10,7
8,11,29
8,12,11
9,0,19
9,1,15
9,2,16
9,3,23
9,4,18
9,5,25
9,6,8
9,7,18
9,8,18
9,9,0
9,10,22
9,11,41
9,12,18
10,0,7
10,1,13
10,2,16
10,3,32
10,4,7
10,5,14
10,6,20
10,7,13
10,8,7
10,9,22
10,10,0
10,11,30
10,12,10
11,0,30
11,1,32
11,2,36
11,3,54
11,4,29
11,5,25
11,6,39
11,7,30
11,8,29
11,9,41
11,10,30
11,11,0
11,12,33
12,0,11
12,1,13
12,2,16
12,3,25
12,4,11
12,5,18
12,6,15
12,7,14
12,8,11
12,9,18
12,10,10
12,11,33
12,12,0
Distance Matrix
i,j,Distance
0,0,0
0,1,3.95
0,2,10.44
0,3,29.71
0,4,0.87
0,5,10.6
0,6,15.06
0,7,2.64
0,8,1.1
0,9,11.15
0,10,2.62
0,11,33.85
0,12,4.57
1,0,3.95
1,1,0
1,2,8.61
1,3,36.37
1,4,4.99
1,5,17.28
1,6,18.21
1,7,6.26
1,8,4.76
1,9,9.31
1,10,7.01
1,11,40.08
1,12,9.15
2,0,10.44
2,1,8.61
2,2,0
2,3,28.16
2,4,15.35
2,5,25.41
2,6,23.57
2,7,14.54
2,8,15.11
2,9,8.91
2,10,14.4
2,11,48.21
2,12,14.44
3,0,29.71
3,1,36.37
3,2,28.16
3,3,0
3,4,39.43
3,5,49.5
3,6,18.73
3,7,38.63
3,8,39.19
3,9,22.93
3,10,37.73
3,11,72.31
3,12,34.76
4,0,0.87
4,1,4.99
4,2,15.35
4,3,39.43
4,4,0
4,5,12.41
4,6,19.72
4,7,2.46
4,8,0.23
4,9,15.93
4,10,5.11
4,11,35.22
4,12,7.32
5,0,10.6
5,1,17.28
5,2,25.41
5,3,49.5
5,4,12.41
5,5,0
5,6,30.67
5,7,12.06
5,8,12.56
5,9,26.87
5,10,15.2
5,11,30.58
5,12,17.4
6,0,15.06
6,1,18.21
6,2,23.57
6,3,18.73
6,4,19.72
6,5,30.67
6,6,0
6,7,20.44
6,8,21.01
6,9,4.76
6,10,20.66
6,11,54.12
6,12,18.08
7,0,2.64
7,1,6.26
7,2,14.54
7,3,38.63
7,4,2.46
7,5,12.06
7,6,20.44
7,7,0
7,8,2.25
7,9,15.72
7,10,6.89
7,11,35.79
7,12,10.45
8,0,1.1
8,1,4.76
8,2,15.11
8,3,39.19
8,4,0.23
8,5,12.56
8,6,21.01
8,7,2.25
8,8,0
8,9,15.7
8,10,4.88
8,11,34.99
8,12,7.09
9,0,11.15
9,1,9.31
9,2,8.91
9,3,22.93
9,4,15.93
9,5,26.87
9,6,4.76
9,7,15.72
9,8,15.7
9,9,0
9,10,16.35
9,11,49.81
9,12,17.25
10,0,2.62
10,1,7.01
10,2,14.4
10,3,37.73
10,4,5.11
10,5,15.2
10,6,20.66
10,7,6.89
10,8,4.88
10,9,16.35
10,10,0
10,11,37.44
10,12,3.44
11,0,33.85
11,1,40.08
11,2,48.21
11,3,72.31
11,4,35.22
11,5,30.58
11,6,54.12
11,7,35.79
11,8,34.99
11,9,49.81
11,10,37.44
11,11,0
11,12,39.81
12,0,4.57
12,1,9.15
12,2,14.44
12,3,34.76
12,4,7.32
12,5,17.4
12,6,18.08
12,7,10.45
12,8,7.09
12,9,17.25
12,10,3.44
12,11,39.81
12,12,0
