id,I04
SCCs,3
m,3
Lab info
id,Open_time,Working_time,Service_time
0,0,1440,10
SCCs info
id,k,Open_time,Collection_time,Service_time,TmaxSCC,Tmax2Lab,
1,1,930,95,10,180,300
2,2,1400,415,10,180,400
3,1,930,95,10,180,300
TravelTime Matrix
i,j,time
0,0,0
0,1,2
0,2,18
0,3,76
1,0,2
1,1,0
1,2,19
1,3,76
2,0,18
2,1,19
2,2,0
2,3,85
3,0,76
3,1,76
3,2,85
3,3,0
Distance Matrix
i,j,Distance
0,0,0
0,1,0.48
0,2,15.29
0,3,86.86
1,0,0.48
1,1,0
1,2,17.65
1,3,101.94
2,0,15.29
2,1,17.65
2,2,0
2,3,116.79
3,0,86.86
3,1,101.94
3,2,116.79
3,3,0
