id,I07
SCCs,5
m,3
Lab info
id,Open_time,Working_time,Service_time
0,0,1440,10
SCCs info
id,k,Open_time,Collection_time,Service_time,TmaxSCC,Tmax2Lab,
1,2,454,95,10,180,240
2,1,480,95,10,180,300
3,1,465,95,10,180,300
4,1,1170,95,10,180,300
5,2,15,1200,10,180,975
TravelTime Matrix
i,j,time
0,0,0
0,1,0
0,2,22
0,3,32
0,4,5
0,5,50
1,0,0
1,1,0
1,2,22
1,3,32
1,4,5
1,5,50
2,0,22
2,1,22
2,2,0
2,3,46
2,4,16
2,5,48
3,0,32
3,1,32
3,2,46
3,3,0
3,4,29
3,5,62
4,0,5
4,1,5
4,2,16
4,3,29
4,4,0
4,5,45
5,0,50
5,1,50
5,2,48
5,3,62
5,4,45
5,5,0
Distance Matrix
i,j,Distance
0,0,0
0,1,0
0,2,17.76
0,3,25.28
0,4,2.03
0,5,47.45
1,0,0
1,1,0
1,2,20.67
1,3,37.94
1,4,2.82
1,5,62.49
2,0,17.76
2,1,20.67
2,2,0
2,3,55.68
2,4,17.87
2,5,63.66
3,0,25.28
3,1,37.94
3,2,55.68
3,3,0
3,4,37.79
3,5,81.47
4,0,2.03
4,1,2.82
4,2,17.87
4,3,37.79
4,4,0
4,5,60.66
5,0,47.45
5,1,62.49
5,2,63.66
5,3,81.47
5,4,60.66
5,5,0
