id,I11
SCCs,4
m,4
Lab info
id,Open_time,Working_time,Service_time
0,0,1440,10
SCCs info
id,k,Open_time,Collection_time,Service_time,TmaxSCC,Tmax2Lab,
1,1,420,95,10,180,300
2,1,660,95,10,180,300
3,1,750,95,10,180,300
4,4,155,1335,10,180,520
TravelTime Matrix
i,j,time
0,0,0
0,1,116
0,2,97
0,3,17
0,4,18
1,0,116
1,1,0
1,2,24
1,3,107
1,4,126
2,0,97
2,1,24
2,2,0
2,3,96
2,4,112
3,0,17
3,1,107
3,2,96
3,3,0
3,4,28
4,0,18
4,1,126
4,2,112
4,3,28
4,4,0
Distance Matrix
i,j,Distance
0,0,0
0,1,133.43
0,2,101.24
0,3,13.6
0,4,15.29
1,0,133.43
1,1,0
1,2,27.74
1,3,136.28
1,4,168.01
2,0,101.24
2,1,27.74
2,2,0
2,3,119.52
2,4,144.67
3,0,13.6
3,1,136.28
3,2,119.52
3,3,0
3,4,31.91
4,0,15.29
4,1,168.01
4,2,144.67
4,3,31.91
4,4,0
