id,I34
SCCs,18
m,9
Lab info
id,Open_time,Working_time,Service_time
0,0,1440,10
SCCs info
id,k,Open_time,Collection_time,Service_time,TmaxSCC,Tmax2Lab,
1,2,465,150,10,180,270
2,2,375,300,10,180,340
3,2,300,345,10,180,365
4,1,495,90,10,180,300
5,3,435,240,10,180,270
6,2,225,450,10,180,420
7,3,285,630,10,180,398
8,2,345,330,10,180,355
9,2,210,150,10,180,270
10,2,15,1320,10,180,1020
11,2,345,450,10,180,420
12,2,165,690,10,180,540
13,1,555,90,10,180,300
14,1,675,90,10,180,300
15,2,345,450,10,180,420
16,6,420,750,10,180,308
17,2,525,120,10,180,255
18,2,315,360,10,180,375
TravelTime Matrix
i,j,time
0,0,0
0,1,57
0,2,7
0,3,21
0,4,37
0,5,42
0,6,12
0,7,7
0,8,14
0,9,72
0,10,4
0,11,55
0,12,58
0,13,13
0,14,53
0,15,36
0,16,32
0,17,25
0,18,13
1,0,57
1,1,0
1,2,62
1,3,66
1,4,82
1,5,18
1,6,56
1,7,53
1,8,67
1,9,20
1,10,59
1,11,30
1,12,6
1,13,67
1,14,98
1,15,58
1,16,72
1,17,42
1,18,67
2,0,7
2,1,62
2,2,0
2,3,23
2,4,41
2,5,49
2,6,16
2,7,13
2,8,7
2,9,79
2,10,7
2,11,61
2,12,64
2,13,6
2,14,55
2,15,37
2,16,35
2,17,31
2,18,6
3,0,21
3,1,66
3,2,23
3,3,0
3,4,30
3,5,52
3,6,17
3,7,23
3,8,18
3,9,82
3,10,21
3,11,64
3,12,68
3,13,18
3,14,46
3,15,27
3,16,40
3,17,34
3,18,18
4,0,37
4,1,82
4,2,41
4,3,30
4,4,0
4,5,67
4,6,32
4,7,37
4,8,35
4,9,97
4,10,36
4,11,79
4,12,82
4,13,35
4,14,24
4,15,46
4,16,55
4,17,49
4,18,35
5,0,42
5,1,18
5,2,49
5,3,52
5,4,67
5,5,0
5,6,40
5,7,37
5,8,51
5,9,36
5,10,43
5,11,31
5,12,25
5,13,51
5,14,82
5,15,40
5,16,56
5,17,27
5,18,51
6,0,12
6,1,56
6,2,16
6,3,17
6,4,32
6,5,40
6,6,0
6,7,12
6,8,15
6,9,74
6,10,11
6,11,56
6,12,59
6,13,14
6,14,52
6,15,35
6,16,32
6,17,26
6,18,14
7,0,7
7,1,53
7,2,13
7,3,23
7,4,37
7,5,37
7,6,12
7,7,0
7,8,16
7,9,70
7,10,6
7,11,52
7,12,55
7,13,15
7,14,55
7,15,38
7,16,29
7,17,22
7,18,15
8,0,14
8,1,67
8,2,7
8,3,18
8,4,35
8,5,51
8,6,15
8,7,16
8,8,0
8,9,82
8,10,10
8,11,64
8,12,67
8,13,4
8,14,54
8,15,35
8,16,36
8,17,34
8,18,4
9,0,72
9,1,20
9,2,79
9,3,82
9,4,97
9,5,36
9,6,74
9,7,70
9,8,82
9,9,0
9,10,73
9,11,38
9,12,14
9,13,80
9,14,112
9,15,70
9,16,85
9,17,60
9,18,80
10,0,4
10,1,59
10,2,7
10,3,21
10,4,36
10,5,43
10,6,11
10,7,6
10,8,10
10,9,73
10,10,0
10,11,55
10,12,58
10,13,14
10,14,54
10,15,36
10,16,31
10,17,24
10,18,14
11,0,55
11,1,30
11,2,61
11,3,64
11,4,79
11,5,31
11,6,56
11,7,52
11,8,64
11,9,38
11,10,55
11,11,0
11,12,26
11,13,64
11,14,89
11,15,37
11,16,69
11,17,49
11,18,64
12,0,58
12,1,6
12,2,64
12,3,68
12,4,82
12,5,25
12,6,59
12,7,55
12,8,67
12,9,14
12,10,58
12,11,26
12,12,0
12,13,67
12,14,99
12,15,57
12,16,72
12,17,49
12,18,67
13,0,13
13,1,67
13,2,6
13,3,18
13,4,35
13,5,51
13,6,14
13,7,15
13,8,4
13,9,80
13,10,14
13,11,64
13,12,67
13,13,0
13,14,52
13,15,34
13,16,37
13,17,35
13,18,0
14,0,53
14,1,98
14,2,55
14,3,46
14,4,24
14,5,82
14,6,52
14,7,55
14,8,54
14,9,112
14,10,54
14,11,89
14,12,99
14,13,52
14,14,0
14,15,55
14,16,72
14,17,66
14,18,51
15,0,36
15,1,58
15,2,37
15,3,27
15,4,46
15,5,40
15,6,35
15,7,38
15,8,35
15,9,70
15,10,36
15,11,37
15,12,57
15,13,34
15,14,55
15,15,0
15,16,56
15,17,51
15,18,34
16,0,32
16,1,72
16,2,35
16,3,40
16,4,55
16,5,56
16,6,32
16,7,29
16,8,36
16,9,85
16,10,31
16,11,69
16,12,72
16,13,37
16,14,72
16,15,56
16,16,0
16,17,39
16,18,38
17,0,25
17,1,42
17,2,31
17,3,34
17,4,49
17,5,27
17,6,26
17,7,22
17,8,34
17,9,60
17,10,24
17,11,49
