id,I17
SCCs,4
m,3
Lab info
id,Open_time,Working_time,Service_time
0,0,1440,10
SCCs info
id,k,Open_time,Collection_time,Service_time,TmaxSCC,Tmax2Lab,
1,2,365,305,10,180,345
2,2,270,395,10,180,390
3,3,285,650,10,180,405
4,2,390,215,10,180,300
TravelTime Matrix
i,j,time
0,0,0
0,1,6
0,2,23
0,3,6
0,4,31
1,0,6
1,1,0
1,2,25
1,3,0
1,4,33
2,0,23
2,1,25
2,2,0
2,3,22
2,4,23
3,0,6
3,1,0
3,2,22
3,3,0
3,4,33
4,0,31
4,1,33
4,2,23
4,3,33
4,4,0
Distance Matrix
i,j,Distance
0,0,0
0,1,2.67
0,2,19.47
0,3,2.51
0,4,38.96
1,0,2.67
1,1,0
1,2,27.75
1,3,0.2
1,4,44.37
2,0,19.47
2,1,27.75
2,2,0
2,3,26.4
2,4,30.19
3,0,2.51
3,1,0.2
3,2,26.4
3,3,0
3,4,43.48
4,0,38.96
4,1,44.37
4,2,30.19
4,3,43.48
4,4,0
