id,I06
SCCs,5
m,3
Lab info
id,Open_time,Working_time,Service_time
0,0,1440,10
SCCs info
id,k,Open_time,Collection_time,Service_time,TmaxSCC,Tmax2Lab,
1,2,462,95,10,180,240
2,1,495,95,10,180,300
3,1,465,95,10,180,300
4,1,1170,95,10,180,300
5,2,15,1200,10,180,975
TravelTime Matrix
i,j,time
0,0,0
0,1,0
0,2,34
0,3,26
0,4,5
0,5,50
1,0,0
1,1,0
1,2,34
1,3,26
1,4,5
1,5,50
2,0,34
2,1,34
2,2,0
2,3,54
2,4,33
2,5,55
3,0,26
3,1,26
3,2,54
3,3,0
3,4,22
3,5,54
4,0,5
4,1,5
4,2,33
4,3,22
4,4,0
4,5,45
5,0,50
5,1,50
5,2,55
5,3,54
5,4,45
5,5,0
Distance Matrix
i,j,Distance
0,0,0
0,1,0
0,2,17.21
0,3,21.2
0,4,2.03
0,5,47.45
1,0,0
1,1,0
1,2,23.98
1,3,29.55
1,4,2.82
1,5,62.49
2,0,17.21
2,1,23.98
2,2,0
2,3,50.61
2,4,23.87
2,5,56.88
3,0,21.2
3,1,29.55
3,2,50.61
3,3,0
3,4,26.67
3,5,72.45
4,0,2.03
4,1,2.82
4,2,23.87
4,3,26.67
4,4,0
4,5,60.66
5,0,47.45
5,1,62.49
5,2,56.88
5,3,72.45
5,4,60.66
5,5,0
