id,I25
SCCs,9
m,7
Lab info
id,Open_time,Working_time,Service_time
0,0,2000,10
SCCs info
id,k,Open_time,Collection_time,Service_time,TmaxSCC,Tmax2Lab,
1,2,15,870,10,180,640
2,1,510,95,10,180,300
3,1,390,95,10,180,300
4,2,363,455,10,180,420
5,2,254,935,10,180,660
6,2,225,935,10,180,660
7,1,570,95,10,180,300
8,3,195,1100,10,180,555
9,2,255,935,10,180,660
TravelTime Matrix
i,j,time
0,0,0
0,1,4
0,2,26
0,3,57
0,4,24
0,5,28
0,6,29
0,7,117
0,8,11
0,9,58
1,0,4
1,1,0
1,2,27
1,3,56
1,4,24
1,5,27
1,6,30
1,7,117
1,8,10
1,9,57
2,0,26
2,1,27
2,2,0
2,3,76
2,4,44
2,5,47
2,6,41
2,7,109
2,8,30
2,9,78
3,0,57
3,1,56
3,2,76
3,3,0
3,4,49
3,5,70
3,6,75
3,7,159
3,8,62
3,9,53
4,0,24
4,1,24
4,2,44
4,3,49
4,4,0
4,5,38
4,6,44
4,7,128
4,8,31
4,9,58
5,0,28
5,1,27
5,2,47
5,3,70
5,4,38
5,5,0
5,6,43
5,7,128
5,8,34
5,9,72
6,0,29
6,1,30
6,2,41
6,3,75
6,4,44
6,5,43
6,6,0
6,7,100
6,8,33
6,9,78
7,0,117
7,1,117
7,2,109
7,3,159
7,4,128
7,5,128
7,6,100
7,7,0
7,8,125
7,9,163
8,0,11
8,1,10
8,2,30
8,3,62
8,4,31
8,5,34
8,6,33
8,7,125
8,8,0
8,9,66
9,0,58
9,1,57
9,2,78
9,3,53
9,4,58
9,5,72
9,6,78
9,7,163
9,8,66
9,9,0
Distance Matrix
i,j,Distance
0,0,0
0,1,1.62
0,2,25.81
0,3,67.8
0,4,14.79
0,5,30.46
0,6,23.45
0,7,138.79
0,8,4.57
0,9,65.45
1,0,1.62
1,1,0
1,2,37.94
1,3,75.74
1,4,23.44
1,5,35.17
1,6,29.43
1,7,165.94
1,8,5.4
1,9,73.97
2,0,25.81
2,1,37.94
2,2,0
2,3,111.5
2,4,59.2
2,5,70.95
2,6,40.81
2,7,142.74
2,8,33.35
2,9,109.73
3,0,67.8
3,1,75.74
3,2,111.5
3,3,0
3,4,56.03
3,5,101.87
3,6,109.08
3,7,232.63
3,8,83.92
3,9,57.29
4,0,14.79
4,1,23.44
4,2,59.2
4,3,56.03
4,4,0
4,5,49.33
4,6,56.54
4,7,180.08
4,8,31.39
4,9,72.05
5,0,30.46
5,1,35.17
5,2,70.95
5,3,101.87
5,4,49.33
5,5,0
5,6,62.45
5,7,186.01
5,8,43.76
5,9,99.22
6,0,23.45
6,1,29.43
6,2,40.81
6,3,109.08
6,4,56.54
6,5,62.45
6,6,0
6,7,133.08
6,8,28.27
6,9,106.46
7,0,138.79
7,1,165.94
7,2,142.74
7,3,232.63
7,4,180.08
7,5,186.01
7,6,133.08
7,7,0
7,8,163.1
7,9,230.3
8,0,4.57
8,1,5.4
8,2,33.35
8,3,83.92
8,4,31.39
8,5,43.76
8,6,28.27
8,7,163.1
8,8,0
8,9,81.44
9,0,65.45
9,1,73.97
9,2,109.73
9,3,57.29
9,4,72.05
9,5,99.22
9,6,106.46
9,7,230.3
9,8,81.44
9,9,0
