id,I16
SCCs,4
m,4
Lab info
id,Open_time,Working_time,Service_time
0,0,1440,10
SCCs info
id,k,Open_time,Collection_time,Service_time,TmaxSCC,Tmax2Lab,
1,2,320,375,10,180,380
2,2,365,375,10,180,380
3,2,289,375,10,180,380
4,3,340,575,10,180,380
TravelTime Matrix
i,j,time
0,0,0
0,1,6
0,2,20
0,3,23
0,4,6
1,0,6
1,1,0
1,2,22
1,3,25
1,4,0
2,0,20
2,1,22
2,2,0
2,3,23
2,4,21
3,0,23
3,1,25
3,2,23
3,3,0
3,4,22
4,0,6
4,1,0
4,2,21
4,3,22
4,4,0
Distance Matrix
i,j,Distance
0,0,0
0,1,2.67
0,2,15.12
0,3,19.47
0,4,2.51
1,0,2.67
1,1,0
1,2,21.33
1,3,27.75
1,4,0.2
2,0,15.12
2,1,21.33
2,2,0
2,3,20.54
2,4,21.52
3,0,19.47
3,1,27.75
3,2,20.54
3,3,0
3,4,26.4
4,0,2.51
4,1,0.2
4,2,21.52
4,3,26.4
4,4,0
