id,I23
SCCs,7
m,6
Lab info
id,Open_time,Working_time,Service_time
0,0,1440,10
SCCs info
id,k,Open_time,Collection_time,Service_time,TmaxSCC,Tmax2Lab,
1,3,466,425,10,180,330
2,1,420,95,10,180,300
3,1,720,95,10,180,300
4,1,660,95,10,180,300
5,2,330,515,10,180,450
6,4,316,615,10,180,340
7,2,157,695,10,180,540
TravelTime Matrix
i,j,time
0,0,0
0,1,2
0,2,116
0,3,47
0,4,97
0,5,17
0,6,18
0,7,76
1,0,2
1,1,0
1,2,118
1,3,48
1,4,97
1,5,18
1,6,19
1,7,76
2,0,116
2,1,118
2,2,0
2,3,87
2,4,24
2,5,107
2,6,126
2,7,45
3,0,47
3,1,48
3,2,87
3,3,0
3,4,68
3,5,39
3,6,57
3,7,50
4,0,97
4,1,97
4,2,24
4,3,68
4,4,0
4,5,96
4,6,112
4,7,54
5,0,17
5,1,18
5,2,107
5,3,39
5,4,96
5,5,0
5,6,28
5,7,66
6,0,18
6,1,19
6,2,126
6,3,57
6,4,112
6,5,28
6,6,0
6,7,85
7,0,76
7,1,76
7,2,45
7,3,50
7,4,54
7,5,66
7,6,85
7,7,0
Distance Matrix
i,j,Distance
0,0,0
0,1,0.48
0,2,133.43
0,3,47.45
0,4,101.24
0,5,13.6
0,6,15.29
0,7,86.86
1,0,0.48
1,1,0
1,2,154.49
1,3,60.6
1,4,127.08
1,5,16.33
1,6,17.65
1,7,101.94
2,0,133.43
2,1,154.49
2,2,0
2,3,111.72
2,4,27.74
2,5,136.28
2,6,168.01
2,7,51.67
3,0,47.45
3,1,60.6
3,2,111.72
3,3,0
3,4,83.93
3,5,43.67
3,6,75.39
3,7,60.79
4,0,101.24
4,1,127.08
4,2,27.74
4,3,83.93
4,4,0
4,5,119.52
4,6,144.67
4,7,60.91
5,0,13.6
5,1,16.33
5,2,136.28
5,3,43.67
5,4,119.52
5,5,0
5,6,31.91
5,7,85.03
6,0,15.29
6,1,17.65
6,2,168.01
6,3,75.39
6,4,144.67
6,5,31.91
6,6,0
6,7,116.79
7,0,86.86
7,1,101.94
7,2,51.67
7,3,60.79
7,4,60.91
7,5,85.03
7,6,116.79
7,7,0
