id,I12
SCCs,4
m,2
Lab info
id,Open_time,Working_time,Service_time
0,0,1440,10
SCCs info
id,k,Open_time,Collection_time,Service_time,TmaxSCC,Tmax2Lab,
1,1,510,95,10,180,300
2,2,328,365,10,180,375
3,2,396,275,10,180,330
4,2,395,215,10,180,300
TravelTime Matrix
i,j,time
0,0,0
0,1,31
0,2,0
0,3,18
0,4,34
1,0,31
1,1,0
1,2,35
1,3,43
1,4,59
2,0,0
2,1,35
2,2,0
2,3,18
2,4,34
3,0,18
3,1,43
3,2,18
3,3,0
3,4,21
4,0,34
4,1,59
4,2,34
4,3,21
4,4,0
Distance Matrix
i,j,Distance
0,0,0
0,1,30.45
0,2,0.3
0,3,19.12
0,4,31.81
1,0,30.45
1,1,0
1,2,37.75
1,3,57.26
1,4,73.25
2,0,0.3
2,1,37.75
2,2,0
2,3,22.78
2,4,38.76
3,0,19.12
3,1,57.26
3,2,22.78
3,3,0
3,4,17.72
4,0,31.81
4,1,73.25
4,2,38.76
4,3,17.72
4,4,0
