id,I26
SCCs,12
m,5
Lab info
id,Open_time,Working_time,Service_time
0,0,1440,10
SCCs info
id,k,Open_time,Collection_time,Service_time,TmaxSCC,Tmax2Lab,
1,3,487,455,10,180,330
2,1,585,95,10,180,300
3,1,420,95,10,180,300
4,1,390,95,10,180,300
5,1,390,95,10,180,300
6,1,555,95,10,180,300
7,1,555,95,10,180,300
8,1,720,95,10,180,300
9,1,660,95,10,180,300
10,1,480,95,10,180,300
11,4,318,615,10,180,340
12,2,158,695,10,180,540
TravelTime Matrix
i,j,time
0,0,0
0,1,2
0,2,18
0,3,116
0,4,73
0,5,84
0,6,40
0,7,18
0,8,47
0,9,97
0,10,17
0,11,18
0,12,76
1,0,2
1,1,0
1,2,20
1,3,118
1,4,73
1,5,84
1,6,41
1,7,18
1,8,48
1,9,97
1,10,18
1,11,19
1,12,76
2,0,18
2,1,20
2,2,0
2,3,119
2,4,87
2,5,98
2,6,56
2,7,33
2,8,50
2,9,111
2,10,20
2,11,21
2,12,79
3,0,116
3,1,118
3,2,119
3,3,0
3,4,46
3,5,40
3,6,150
3,7,128
3,8,87
3,9,24
3,10,107
3,11,126
3,12,45
4,0,73
4,1,73
4,2,87
4,3,46
4,4,0
4,5,11
4,6,104
4,7,82
4,8,41
4,9,24
4,10,71
4,11,88
4,12,75
5,0,84
5,1,84
5,2,98
5,3,40
5,4,11
5,5,0
5,6,116
5,7,94
5,8,53
5,9,18
5,10,83
5,11,100
5,12,68
6,0,40
6,1,41
6,2,56
6,3,150
6,4,104
6,5,116
6,6,0
6,7,27
6,8,84
6,9,132
6,10,54
6,11,57
6,12,113
7,0,18
7,1,18
7,2,33
7,3,128
7,4,82
7,5,94
7,6,27
7,7,0
7,8,60
7,9,108
7,10,30
7,11,33
7,12,89
8,0,47
8,1,48
8,2,50
8,3,87
8,4,41
8,5,53
8,6,84
8,7,60
8,8,0
8,9,68
8,10,39
8,11,57
8,12,50
9,0,97
9,1,97
9,2,111
9,3,24
9,4,24
9,5,18
9,6,132
9,7,108
9,8,68
9,9,0
9,10,96
9,11,112
9,12,54
10,0,17
10,1,18
10,2,20
10,3,107
10,4,71
10,5,83
10,6,54
10,7,30
10,8,39
10,9,96
10,10,0
10,11,28
10,12,66
11,0,18
11,1,19
11,2,21
11,3,126
11,4,88
11,5,100
11,6,57
11,7,33
11,8,57
11,9,112
11,10,28
11,11,0
11,12,85
12,0,76
12,1,76
12,2,79
12,3,45
12,4,75
12,5,68
12,6,113
12,7,89
12,8,50
12,9,54
12,10,66
12,11,85
12,12,0
Distance Matrix
i,j,Distance
0,0,0
0,1,0.48
0,2,13.67
0,3,133.43
0,4,82.65
0,5,90.49
0,6,34.63
0,7,11.29
0,8,47.45
0,9,101.24
0,10,13.6
0,11,15.29
0,12,86.86
1,0,0.48
1,1,0
1,2,16.95
1,3,154.49
1,4,97
1,5,111.19
1,6,45.58
1,7,16.95
1,8,60.6
1,9,127.08
1,10,16.33
1,11,17.65
1,12,101.94
2,0,13.67
2,1,16.95
2,2,0
2,3,160.59
2,4,118.72
2,5,132.92
2,6,61.71
2,7,33.06
2,8,67.84
2,9,148.79
2,10,22.68
2,11,20.81
2,12,109.18
3,0,133.43
3,1,154.49
3,2,160.59
3,3,0
3,4,57.95
3,5,45.79
3,6,195.72
3,7,167.09
3,8,111.72
3,9,27.74
3,10,136.28
3,11,168.01
3,12,51.67
4,0,82.65
4,1,97
4,2,118.72
4,3,57.95
4,4,0
4,5,14.2
4,6,137.76
4,7,109.13
4,8,53.76
4,9,30.07
4,10,89.46
4,11,114.62
4,12,89.78
5,0,90.49
5,1,111.19
5,2,132.92
5,3,45.79
5,4,14.2
5,5,0
5,6,151.97
5,7,123.33
5,8,67.97
5,9,17.91
5,10,103.65
5,11,128.81
5,12,77.63
6,0,34.63
6,1,45.58
6,2,61.71
6,3,195.72
6,4,137.76
6,5,151.97
6,6,0
6,7,28.46
6,8,103.23
6,9,167.15
6,10,58.78
6,11,63.02
6,12,144.57
7,0,11.29
7,1,16.95
7,2,33.06
7,3,167.09
7,4,109.13
7,5,123.33
7,6,28.46
7,7,0
7,8,74.6
7,9,138.52
7,10,30.14
7,11,34.36
7,12,115.94
8,0,47.45
8,1,60.6
8,2,67.84
8,3,111.72
8,4,53.76
8,5,67.97
8,6,103.23
8,7,74.6
8,8,0
8,9,83.93
8,10,43.67
8,11,75.39
8,12,60.79
9,0,101.24
9,1,127.08
9,2,148.79
9,3,27.74
9,4,30.07
9,5,17.91
9,6,167.15
9,7,138.52
9,8,83.93
9,9,0
9,10,119.52
9,11,144.67
9,12,60.91
10,0,13.6
10,1,16.33
10,2,22.68
10,3,136.28
10,4,89.46
10,5,103.65
10,6,58.78
10,7,30.14
10,8,43.67
10,9,119.52
10,10,0
10,11,31.91
10,12,85.03
11,0,15.29
11,1,17.65
11,2,20.81
11,3,168.01
11,4,114.62
11,5,128.81
11,6,63.02
11,7,34.36
11,8,75.39
11,9,144.67
11,10,31.91
11,11,0
11,12,116.79
12,0,86.86
12,1,101.94
12,2,109.18
12,3,51.67
12,4,89.78
12,5,77.63
12,6,144.57
12,7,115.94
12,8,60.79
12,9,60.91
12,10,85.03
12,11,116.79
12,12,0
