id,I19
SCCs,6
m,4
Lab info
id,Open_time,Working_time,Service_time
0,0,2000,10
SCCs info
id,k,Open_time,Collection_time,Service_time,TmaxSCC,Tmax2Lab,
1,4,285,815,10,180,390
2,1,510,95,10,180,300
3,1,390,95,10,180,300
4,1,390,95,10,180,300
5,1,390,95,10,180,300
6,1,600,95,10,180,300
TravelTime Matrix
i,j,time
0,0,0
0,1,18
0,2,30
0,3,40
0,4,37
0,5,53
0,6,31
1,0,18
1,1,0
1,2,19
1,3,28
1,4,25
1,5,41
1,6,34
2,0,30
2,1,19
2,2,0
2,3,13
2,4,18
2,5,25
2,6,49
3,0,40
3,1,28
3,2,13
3,3,0
3,4,26
3,5,17
3,6,58
4,0,37
4,1,25
4,2,18
4,3,26
4,4,0
4,5,41
4,6,55
5,0,53
5,1,41
5,2,25
5,3,17
5,4,41
5,5,0
5,6,57
6,0,31
6,1,34
6,2,49
6,3,58
6,4,55
6,5,57
6,6,0
Distance Matrix
i,j,Distance
0,0,0
0,1,9.38
0,2,26.72
0,3,37.51
0,4,32.64
0,5,43.97
0,6,23.45
1,0,9.38
1,1,0
1,2,21.08
1,3,32.9
1,4,32.88
1,5,43.42
1,6,50.59
2,0,26.72
2,1,21.08
2,2,0
2,3,12.86
2,4,21.71
2,5,23.38
2,6,69.29
3,0,37.51
3,1,32.9
3,2,12.86
3,3,0
3,4,32.56
3,5,13.91
3,6,81.13
4,0,32.64
4,1,32.88
4,2,21.71
4,3,32.56
4,4,0
4,5,43.07
4,6,81.11
5,0,43.97
5,1,43.42
5,2,23.38
5,3,13.91
5,4,43.07
5,5,0
5,6,63.07
6,0,23.45
6,1,50.59
6,2,69.29
6,3,81.13
6,4,81.11
6,5,63.07
6,6,0
