id,I29
SCCs,10
m,6
Lab info
id,Open_time,Working_time,Service_time
0,0,1440,10
SCCs info
id,k,Open_time,Collection_time,Service_time,TmaxSCC,Tmax2Lab,
1,3,420,470,10,180,345
2,3,428,447,10,180,338
3,2,214,665,10,180,525
4,1,360,95,10,180,300
5,2,375,635,10,180,510
6,4,390,555,10,180,325
7,4,414,535,10,180,320
8,2,105,785,10,180,585
9,4,345,575,10,180,330
10,5,367,762,10,180,338
TravelTime Matrix
i,j,time
0,0,0
0,1,8
0,2,15
0,3,3
0,4,18
0,5,8
0,6,3
0,7,19
0,8,7
0,9,30
0,10,11
1,0,8
1,1,0
1,2,9
1,3,9
1,4,15
1,5,10
1,6,9
1,7,15
1,8,13
1,9,32
1,10,13
2,0,15
2,1,9
2,2,0
2,3,14
2,4,18
2,5,14
2,6,14
2,7,16
2,8,16
2,9,36
2,10,16
3,0,3
3,1,9
3,2,14
3,3,0
3,4,16
3,5,6
3,6,0
3,7,18
3,8,7
3,9,29
3,10,11
4,0,18
4,1,15
4,2,18
4,3,16
4,4,0
4,5,17
4,6,17
4,7,8
4,8,20
4,9,39
4,10,15
5,0,8
5,1,10
5,2,14
5,3,6
5,4,17
5,5,0
5,6,6
5,7,18
5,8,13
5,9,30
5,10,14
6,0,3
6,1,9
6,2,14
6,3,0
6,4,17
6,5,6
6,6,0
6,7,18
6,8,7
6,9,29
6,10,11
7,0,19
7,1,15
7,2,16
7,3,18
7,4,8
7,5,18
7,6,18
7,7,0
7,8,22
7,9,41
7,10,18
8,0,7
8,1,13
8,2,16
8,3,7
8,4,20
8,5,13
8,6,7
8,7,22
8,8,0
8,9,30
8,10,10
9,0,30
9,1,32
9,2,36
9,3,29
9,4,39
9,5,30
9,6,29
9,7,41
9,8,30
9,9,0
9,10,33
10,0,11
10,1,13
10,2,16
10,3,11
10,4,15
10,5,14
10,6,11
10,7,18
10,8,10
10,9,33
10,10,0
Distance Matrix
i,j,Distance
0,0,0
0,1,3.95
0,2,10.44
0,3,0.87
0,4,15.06
0,5,2.64
0,6,1.1
0,7,11.15
0,8,2.62
0,9,33.85
0,10,4.57
1,0,3.95
1,1,0
1,2,8.61
1,3,4.99
1,4,18.21
1,5,6.26
1,6,4.76
1,7,9.31
1,8,7.01
1,9,40.08
1,10,9.15
2,0,10.44
2,1,8.61
2,2,0
2,3,15.35
2,4,23.57
2,5,14.54
2,6,15.11
2,7,8.91
2,8,14.4
2,9,48.21
2,10,14.44
3,0,0.87
3,1,4.99
3,2,15.35
3,3,0
3,4,19.72
3,5,2.46
3,6,0.23
3,7,15.93
3,8,5.11
3,9,35.22
3,10,7.32
4,0,15.06
4,1,18.21
4,2,23.57
4,3,19.72
4,4,0
4,5,20.44
4,6,21.01
4,7,4.76
4,8,20.66
4,9,54.12
4,10,18.08
5,0,2.64
5,1,6.26
5,2,14.54
5,3,2.46
5,4,20.44
5,5,0
5,6,2.25
5,7,15.72
5,8,6.89
5,9,35.79
5,10,10.45
6,0,1.1
6,1,4.76
6,2,15.11
6,3,0.23
6,4,21.01
6,5,2.25
6,6,0
6,7,15.7
6,8,4.88
6,9,34.99
6,10,7.09
7,0,11.15
7,1,9.31
7,2,8.91
7,3,15.93
7,4,4.76
7,5,15.72
7,6,15.7
7,7,0
7,8,16.35
7,9,49.81
7,10,17.25
8,0,2.62
8,1,7.01
8,2,14.4
8,3,5.11
8,4,20.66
8,5,6.89
8,6,4.88
8,7,16.35
8,8,0
8,9,37.44
8,10,3.44
9,0,33.85
9,1,40.08
9,2,48.21
9,3,35.22
9,4,54.12
9,5,35.79
9,6,34.99
9,7,49.81
9,8,37.44
9,9,0
9,10,39.81
10,0,4.57
10,1,9.15
10,2,14.44
10,3,7.32
10,4,18.08
10,5,10.45
10,6,7.09
10,7,17.25
10,8,3.44
10,9,39.81
10,10,0
