id,I21
SCCs,9
m,2
Lab info
id,Open_time,Working_time,Service_time
0,0,1440,10
SCCs info
id,k,Open_time,Collection_time,Service_time,TmaxSCC,Tmax2Lab,
1,1,630,95,10,180,300
2,3,405,605,10,180,390
3,1,720,95,10,180,300
4,1,645,95,10,180,300
5,1,600,95,10,180,300
6,2,311,455,10,180,420
7,2,87,785,10,180,585
8,1,480,95,10,180,300
9,1,645,95,10,180,300
TravelTime Matrix
i,j,time
0,0,0
0,1,3
0,2,15
0,3,8
0,4,11
0,5,40
0,6,7
0,7,13
0,8,6
0,9,10
1,0,3
1,1,0
1,2,17
1,3,13
1,4,12
1,5,41
1,6,9
1,7,17
1,8,6
1,9,11
2,0,15
2,1,17
2,2,0
2,3,8
2,4,9
2,5,50
2,6,11
2,7,6
2,8,15
2,9,9
3,0,8
3,1,13
3,2,8
3,3,0
3,4,11
3,5,47
3,6,6
3,7,6
3,8,11
3,9,7
4,0,11
4,1,12
4,2,9
4,3,11
4,4,0
4,5,44
4,6,7
4,7,11
4,8,9
4,9,5
5,0,40
5,1,41
5,2,50
5,3,47
5,4,44
5,5,0
5,6,42
5,7,49
5,8,41
5,9,44
6,0,7
6,1,9
6,2,11
6,3,6
6,4,7
6,5,42
6,6,0
6,7,8
6,8,7
6,9,5
7,0,13
7,1,17
7,2,6
7,3,6
7,4,11
7,5,49
7,6,8
7,7,0
7,8,17
7,9,10
8,0,6
8,1,6
8,2,15
8,3,11
8,4,9
8,5,41
8,6,7
8,7,17
8,8,0
8,9,9
9,0,10
9,1,11
9,2,9
9,3,7
9,4,5
9,5,44
9,6,5
9,7,10
9,8,9
9,9,0
Distance Matrix
i,j,Distance
0,0,0
0,1,1.85
0,2,8.5
0,3,5.9
0,4,5.09
0,5,43.48
0,6,3.6
0,7,7.26
0,8,1.79
0,9,5.17
1,0,1.85
1,1,0
1,2,18.08
1,3,8.23
1,4,10.98
1,5,51.76
1,6,8.92
1,7,10.22
1,8,3.98
1,9,10.48
2,0,8.5
2,1,18.08
2,2,0
2,3,4.42
2,4,4.93
2,5,59.34
2,6,6.21
2,7,2.73
2,8,11.09
2,9,4.55
3,0,5.9
3,1,8.23
3,2,4.42
3,3,0
3,4,6.71
3,5,56.92
3,6,3.54
3,7,2.09
3,8,7.92
3,9,2.14
4,0,5.09
4,1,10.98
4,2,4.93
4,3,6.71
4,4,0
4,5,55.62
4,6,3.4
4,7,5.52
4,8,7.21
4,9,2.22
5,0,43.48
5,1,51.76
5,2,59.34
5,3,56.92
5,4,55.62
5,5,0
5,6,54.33
5,7,57.89
5,8,51.6
5,9,55.89
6,0,3.6
6,1,8.92
6,2,6.21
6,3,3.54
6,4,3.4
6,5,54.33
6,6,0
6,7,4.08
6,8,4.04
6,9,2.84
7,0,7.26
7,1,10.22
7,2,2.73
7,3,2.09
7,4,5.52
7,5,57.89
7,6,4.08
7,7,0
7,8,8.06
7,9,3.01
8,0,1.79
8,1,3.98
8,2,11.09
8,3,7.92
8,4,7.21
8,5,51.6
8,6,4.04
8,7,8.06
8,8,0
8,9,8.12
9,0,5.17
9,1,10.48
9,2,4.55
9,3,2.14
9,4,2.22
9,5,55.89
9,6,2.84
9,7,3.01
9,8,8.12
9,9,0
