id,I38
SCCs,17
m,5
Lab info
id,Open_time,Working_time,Service_time
0,0,1440,10
SCCs info
id,k,Open_time,Collection_time,Service_time,TmaxSCC,Tmax2Lab,
1,4,480,450,10,180,297
2,2,435,270,10,180,330
3,4,480,420,10,180,290
4,3,405,480,10,180,345
5,4,510,480,10,180,305
6,4,465,495,10,180,310
7,3,465,420,10,180,330
8,1,630,90,10,180,300
9,3,480,480,10,180,345
10,4,390,510,10,180,315
11,4,495,450,10,180,297
12,2,75,780,10,180,585
13,2,480,330,10,180,360
14,4,375,405,10,180,287
15,2,210,570,10,180,480
16,2,300,450,10,180,420
17,2,345,450,10,180,420
TravelTime Matrix
i,j,time
0,0,0
0,1,7
0,2,3
0,3,13
0,4,5
0,5,12
0,6,15
0,7,8
0,8,11
0,9,40
0,10,13
0,11,7
0,12,13
0,13,15
0,14,13
0,15,0
0,16,13
0,17,6
1,0,7
1,1,0
1,2,9
1,3,6
1,4,9
1,5,6
1,6,11
1,7,5
1,8,6
1,9,42
1,10,6
1,11,0
1,12,8
1,13,12
1,14,9
1,15,8
1,16,10
1,17,7
2,0,3
2,1,9
2,2,0
2,3,13
2,4,7
2,5,12
2,6,17
2,7,13
2,8,12
2,9,41
2,10,13
2,11,9
2,12,17
2,13,16
2,14,17
2,15,8
2,16,14
2,17,6
3,0,13
3,1,6
3,2,13
3,3,0
3,4,10
3,5,8
3,6,11
3,7,11
3,8,1
3,9,43
3,10,0
3,11,6
3,12,13
3,13,11
3,14,13
3,15,9
3,16,8
3,17,8
4,0,5
4,1,9
4,2,7
4,3,10
4,4,0
4,5,12
4,6,16
4,7,14
4,8,12
4,9,38
4,10,12
4,11,9
4,12,16
4,13,16
4,14,18
4,15,7
4,16,14
4,17,2
5,0,12
5,1,6
5,2,12
5,3,8
5,4,12
5,5,0
5,6,9
5,7,6
5,8,7
5,9,44
5,10,6
5,11,6
5,12,7
5,13,11
5,14,8
5,15,13
5,16,7
5,17,13
6,0,15
6,1,11
6,2,17
6,3,11
6,4,16
6,5,9
6,6,0
6,7,8
6,8,9
6,9,50
6,10,7
6,11,11
6,12,6
6,13,2
6,14,7
6,15,15
6,16,4
6,17,15
7,0,8
7,1,5
7,2,13
7,3,11
7,4,14
7,5,6
7,6,8
7,7,0
7,8,11
7,9,47
7,10,10
7,11,6
7,12,6
7,13,10
7,14,6
7,15,8
7,16,11
7,17,11
8,0,11
8,1,6
8,2,12
8,3,1
8,4,12
8,5,7
8,6,9
8,7,11
8,8,0
8,9,44
8,10,2
8,11,7
8,12,11
8,13,10
8,14,12
8,15,10
8,16,7
8,17,9
9,0,40
9,1,42
9,2,41
9,3,43
9,4,38
9,5,44
9,6,50
9,7,47
9,8,44
9,9,0
9,10,45
9,11,42
9,12,49
9,13,49
9,14,49
9,15,43
9,16,47
9,17,41
10,0,13
10,1,6
10,2,13
10,3,0
10,4,12
10,5,6
10,6,7
10,7,10
10,8,2
10,9,45
10,10,0
10,11,6
10,12,13
10,13,11
10,14,13
10,15,9
10,16,8
10,17,8
11,0,7
11,1,0
11,2,9
11,3,6
11,4,9
11,5,6
11,6,11
11,7,6
11,8,7
11,9,42
11,10,6
11,11,0
11,12,8
11,13,12
