id,I09
SCCs,4
m,3
Lab info
id,Open_time,Working_time,Service_time
0,0,2000,10
SCCs info
id,k,Open_time,Collection_time,Service_time,TmaxSCC,Tmax2Lab,
1,4,375,535,10,180,320
2,1,510,95,10,180,300
3,1,390,95,10,180,300
4,1,600,95,10,180,300
TravelTime Matrix
i,j,time
0,0,0
0,1,18
0,2,30
0,3,40
0,4,31
1,0,18
1,1,0
1,2,19
1,3,28
1,4,34
2,0,30
2,1,19
2,2,0
2,3,13
2,4,49
3,0,40
3,1,28
3,2,13
3,3,0
3,4,58
4,0,31
4,1,34
4,2,49
4,3,58
4,4,0
Distance Matrix
i,j,Distance
0,0,0
0,1,9.38
0,2,26.72
0,3,37.51
0,4,23.45
1,0,9.38
1,1,0
1,2,21.08
1,3,32.9
1,4,50.59
2,0,26.72
2,1,21.08
2,2,0
2,3,12.86
2,4,69.29
3,0,37.51
3,1,32.9
3,2,12.86
3,3,0
3,4,81.13
4,0,23.45
4,1,50.59
4,2,69.29
4,3,81.13
4,4,0
