id,I28
SCCs,17
m,10
Lab info
id,Open_time,Working_time,Service_time
0,0,1440,10
SCCs info
id,k,Open_time,Collection_time,Service_time,TmaxSCC,Tmax2Lab,
1,3,465,420,10,180,330
2,1,390,90,10,180,300
3,1,375,90,10,180,300
4,1,360,90,10,180,300
5,1,525,90,10,180,300
6,1,360,90,10,180,300
7,1,360,90,10,180,300
8,1,360,90,10,180,300
9,1,525,90,10,180,300
10,1,360,90,10,180,300
11,1,360,90,10,180,300
12,1,360,90,10,180,300
13,1,690,90,10,180,300
14,1,630,90,10,180,300
15,2,315,510,10,180,450
16,4,300,615,10,180,340
17,2,150,690,10,180,540
TravelTime Matrix
i,j,time
0,0,0
0,1,2
0,2,116
0,3,136
0,4,76
0,5,28
0,6,127
0,7,94
0,8,113
0,9,14
0,10,88
0,11,118
0,12,136
0,13,47
0,14,97
0,15,17
0,16,18
0,17,76
1,0,2
1,1,0
1,2,118
1,3,136
1,4,76
1,5,28
1,6,128
1,7,95
1,8,113
1,9,14
1,10,88
1,11,118
1,12,138
1,13,48
1,14,97
1,15,18
1,16,19
1,17,76
2,0,116
2,1,118
2,2,0
2,3,70
2,4,54
2,5,134
2,6,16
2,7,51
2,8,46
2,9,120
2,10,75
2,11,52
2,12,19
2,13,87
2,14,24
2,15,107
2,16,126
2,17,45
3,0,136
3,1,136
3,2,70
3,3,0
3,4,71
3,5,151
3,6,77
3,7,68
3,8,23
3,9,137
3,10,93
3,11,43
3,12,87
3,13,104
3,14,46
3,15,135
3,16,151
3,17,97
4,0,76
4,1,76
4,2,54
4,3,71
4,4,0
4,5,92
4,6,62
4,7,29
4,8,48
4,9,77
4,10,21
4,11,53
4,12,72
4,13,45
4,14,32
4,15,75
4,16,92
4,17,82
5,0,28
5,1,28
5,2,134
5,3,151
5,4,92
5,5,0
5,6,144
5,7,111
5,8,129
5,9,16
5,10,105
5,11,134
5,12,154
5,13,69
5,14,113
5,15,42
5,16,46
5,17,101
6,0,127
6,1,128
6,2,16
6,3,77
6,4,62
6,5,144
6,6,0
6,7,60
6,8,56
6,9,129
6,10,85
6,11,61
6,12,20
6,13,96
6,14,34
6,15,123
6,16,142
6,17,61
7,0,94
7,1,95
7,2,51
7,3,68
7,4,29
7,5,111
7,6,60
7,7,0
7,8,45
7,9,96
7,10,32
7,11,50
7,12,69
7,13,63
7,14,29
7,15,94
7,16,111
7,17,79
8,0,113
8,1,113
8,2,46
8,3,23
8,4,48
8,5,129
8,6,56
8,7,45
8,8,0
8,9,114
8,10,69
8,11,19
8,12,64
8,13,81
8,14,23
8,15,112
8,16,128
8,17,74
9,0,14
9,1,14
9,2,120
9,3,137
9,4,77
9,5,16
9,6,129
9,7,96
9,8,114
9,9,0
9,10,89
9,11,119
9,12,138
9,13,53
9,14,98
9,15,26
9,16,30
9,17,85
10,0,88
10,1,88
10,2,75
10,3,93
10,4,21
10,5,105
10,6,85
10,7,32
10,8,69
10,9,89
10,10,0
10,11,74
10,12,94
10,13,57
10,14,53
10,15,88
10,16,104
10,17,100
11,0,118
11,1,118
11,2,52
11,3,43
11,4,53
11,5,134
11,6,61
11,7,50
11,8,19
11,9,119
11,10,74
11,11,0
11,12,69
11,13,86
11,14,28
11,15,117
11,16,133
11,17,79
12,0,136
12,1,138
12,2,19
12,3,87
12,4,72
12,5,154
12,6,20
12,7,69
12,8,64
12,9,138
12,10,94
12,11,69
12,12,0
12,13,107
12,14,44
12,15,127
12,16,146
12,17,65
13,0,47
13,1,48
13,2,87
13,3,104
13,4,45
13,5,69
13,6,96
13,7,63
13,8,81
13,9,53
13,10,57
13,11,86
13,12,107
13,13,0
13,14,68
13,15,39
13,16,57
13,17,50
14,0,97
14,1,97
14,2,24
14,3,46
14,4,32
14,5,113
14,6,34
14,7,29
14,8,23
14,9,98
14,10,53
14,11,28
14,12,44
14,13,68
14,14,0
14,15,96
14,16,112
14,17,54
15,0,17
15,1,18
15,2,107
15,3,135
15,4,75
15,5,42
15,6,123
15,7,94
15,8,112
15,9,26
15,10,88
15,11,117
15,12,127
15,13,39
15,14,96
15,15,0
15,16,28
15,17,66
16,0,18
16,1,19
16,2,126
16,3,151
16,4,92
16,5,46
16,6,142
16,7,111
16,8,128
16,9,30
16,10,104
16,11,133
16,12,146
16,13,57
16,14,112
16,15,28
16,16,0
16,17,85
17,0,76
17,1,76
17,2,45
17,3,97
17,4,82
17,5,101
17,6,61
17,7,79
17,8,74
17,9,85
17,10,100
17,11,79
17,12,65
17,13,50
17,14,54
17,15,66
17,16,85
17,17,0
Distance Matrix
i,j,Distance
0,0,0
0,1,0.48
0,2,133.43
0,3,124.11
0,4,76.78
0,5,22.3
0,6,125.38
0,7,97.59
0,8,112.13
0,9,12.32
0,10,88.82
0,11,111.2
0,12,145.36
0,13,47.45
0,14,101.24
0,15,13.6
0,16,15.29
0,17,86.86
1,0,0.48
1,1,0
1,2,154.49
1,3,150.18
1,4,92.56
1,5,26.87
1,6,157.81
1,7,117.45
1,8,136.65
1,9,14.52
1,10,102.13
1,11,138.41
1,12,169.81
1,13,60.6
1,14,127.08
1,15,16.33
1,16,17.65
1,17,101.94
2,0,133.43
2,1,154.49
2,2,0
2,3,56.89
2,4,61.05
2,5,171.59
2,6,10.1
2,7,52.04
2,8,43.35
2,9,159.25
2,10,78
2,11,45.11
2,12,15.32
2,13,111.72
2,14,27.74
2,15,136.28
2,16,168.01
2,17,51.67
3,0,124.11
3,1,150.18
3,2,56.89
3,3,0
3,4,56.27
3,5,166.82
3,6,59.7
3,7,47.27
3,8,13.52
3,9,154.47
3,10,73.2
3,11,24.51
3,12,71.7
3,13,106.94
3,14,28.96
3,15,142.63
3,16,167.79
3,17,88.67
4,0,76.78
4,1,92.56
4,2,61.05
4,3,56.27
4,4,0
4,5,109.21
4,6,63.92
4,7,23.54
4,8,42.75
4,9,96.88
4,10,16.95
4,11,44.52
4,12,75.92
4,13,49.34
4,14,33.17
4,15,85.03
4,16,110.19
4,17,92.87
5,0,22.3
5,1,26.87
5,2,171.59
5,3,166.82
5,4,109.21
5,5,0
5,6,174.41
5,7,134.06
5,8,153.23
5,9,12.34
5,10,118.75
5,11,155.04
5,12,186.42
5,13,77.26
5,14,143.69
5,15,40.23
5,16,44.46
5,17,126.01
6,0,125.38
6,1,157.81
6,2,10.1
6,3,59.7
6,4,63.92
6,5,174.41
6,6,0
6,7,55.36
6,8,46.67
6,9,162.57
6,10,81.31
6,11,48.43
6,12,11.66
6,13,115.05
6,14,31.06
6,15,146.99
6,16,178.71
6,17,62.38
7,0,97.59
7,1,117.45
7,2,52.04
7,3,47.27
7,4,23.54
7,5,134.06
7,6,55.36
7,7,0
7,8,33.73
7,9,121.75
7,10,18.55
7,11,35.51
7,12,66.92
7,13,74.22
7,14,24.16
7,15,109.91
7,16,135.07
7,17,83.87
8,0,112.13
8,1,136.65
8,2,43.35
8,3,13.52
8,4,42.75
8,5,153.23
8,6,46.67
8,7,33.73
8,8,0
8,9,140.94
8,10,59.7
8,11,10.98
8,12,58.17
8,13,93.41
8,14,15.43
8,15,129.09
8,16,154.26
8,17,75.14
9,0,12.32
9,1,14.52
9,2,159.25
9,3,154.47
9,4,96.88
9,5,12.34
9,6,162.57
9,7,121.75
9,8,140.94
9,9,0
9,10,106.39
9,11,142.68
9,12,174.1
9,13,64.92
9,14,131.35
9,15,27.88
9,16,32.11
9,17,113.67
10,0,88.82
10,1,102.13
10,2,78
10,3,73.2
10,4,16.95
10,5,118.75
10,6,81.31
10,7,18.55
10,8,59.7
10,9,106.39
10,10,0
10,11,61.44
10,12,92.87
10,13,58.91
10,14,50.12
10,15,94.6
10,16,119.76
10,17,116.81
11,0,111.2
11,1,138.41
11,2,45.11
11,3,24.51
11,4,44.52
11,5,155.04
11,6,48.43
11,7,35.51
11,8,10.98
11,9,142.68
11,10,61.44
11,11,0
11,12,59.94
11,13,95.22
11,14,17.2
11,15,130.87
11,16,156.03
11,17,76.91
12,0,145.36
12,1,169.81
12,2,15.32
12,3,71.7
12,4,75.92
12,5,186.42
12,6,11.66
12,7,66.92
12,8,58.17
12,9,174.1
12,10,92.87
12,11,59.94
12,12,0
12,13,127.04
12,14,43.06
12,15,151.6
12,16,183.32
12,17,67
13,0,47.45
13,1,60.6
13,2,111.72
13,3,106.94
13,4,49.34
13,5,77.26
13,6,115.05
13,7,74.22
13,8,93.41
13,9,64.92
13,10,58.91
13,11,95.22
13,12,127.04
13,13,0
13,14,83.93
13,15,43.67
13,16,75.39
13,17,60.79
14,0,101.24
14,1,127.08
14,2,27.74
14,3,28.96
14,4,33.17
14,5,143.69
14,6,31.06
14,7,24.16
14,8,15.43
14,9,131.35
14,10,50.12
14,11,17.2
14,12,43.06
14,13,83.93
14,14,0
14,15,119.52
14,16,144.67
14,17,60.91
15,0,13.6
15,1,16.33
15,2,136.28
15,3,142.63
15,4,85.03
15,5,40.23
15,6,146.99
