id,I24
SCCs,9
m,5
Lab info
id,Open_time,Working_time,Service_time
0,0,1440,10
SCCs info
id,k,Open_time,Collection_time,Service_time,TmaxSCC,Tmax2Lab,
1,3,473,425,10,180,330
2,1,405,95,10,180,300
3,1,420,95,10,180,300
4,1,555,95,10,180,300
5,1,720,95,10,180,300
6,1,660,95,10,180,300
7,2,330,515,10,180,450
8,4,318,615,10,180,340
9,2,159,695,10,180,540
TravelTime Matrix
i,j,time
0,0,0
0,1,2
0,2,129
0,3,116
0,4,28
0,5,47
0,6,97
0,7,17
0,8,18
0,9,76
1,0,2
1,1,0
1,2,129
1,3,118
1,4,28
1,5,48
1,6,97
1,7,18
1,8,19
1,9,76
2,0,129
2,1,129
2,2,0
2,3,28
2,4,146
2,5,98
2,6,36
2,7,129
2,8,146
2,9,73
3,0,116
3,1,118
3,2,28
3,3,0
3,4,134
3,5,87
3,6,24
3,7,107
3,8,126
3,9,45
4,0,28
4,1,28
4,2,146
4,3,134
4,4,0
4,5,69
4,6,113
4,7,42
4,8,46
4,9,101
5,0,47
5,1,48
5,2,98
5,3,87
5,4,69
5,5,0
5,6,68
5,7,39
5,8,57
5,9,50
6,0,97
6,1,97
6,2,36
6,3,24
6,4,113
6,5,68
6,6,0
6,7,96
6,8,112
6,9,54
7,0,17
7,1,18
7,2,129
7,3,107
7,4,42
7,5,39
7,6,96
7,7,0
7,8,28
7,9,66
8,0,18
8,1,19
8,2,146
8,3,126
8,4,46
8,5,57
8,6,112
8,7,28
8,8,0
8,9,85
9,0,76
9,1,76
9,2,73
9,3,45
9,4,101
9,5,50
9,6,54
9,7,66
9,8,85
9,9,0
Distance Matrix
i,j,Distance
0,0,0
0,1,0.48
0,2,127.35
0,3,133.43
0,4,22.3
0,5,47.45
0,6,101.24
0,7,13.6
0,8,15.29
0,9,86.86
1,0,0.48
1,1,0
1,2,159.8
1,3,154.49
1,4,26.87
1,5,60.6
1,6,127.08
1,7,16.33
1,8,17.65
1,9,101.94
2,0,127.35
2,1,159.8
2,2,0
2,3,25.53
2,4,176.91
2,5,117.03
2,6,33.05
2,7,152.72
2,8,177.87
2,9,76.82
3,0,133.43
3,1,154.49
3,2,25.53
3,3,0
3,4,171.59
3,5,111.72
3,6,27.74
3,7,136.28
3,8,168.01
3,9,51.67
4,0,22.3
4,1,26.87
4,2,176.91
4,3,171.59
4,4,0
4,5,77.26
4,6,143.69
4,7,40.23
4,8,44.46
4,9,126.01
5,0,47.45
5,1,60.6
5,2,117.03
5,3,111.72
5,4,77.26
5,5,0
5,6,83.93
5,7,43.67
5,8,75.39
5,9,60.79
6,0,101.24
6,1,127.08
6,2,33.05
6,3,27.74
6,4,143.69
6,5,83.93
6,6,0
6,7,119.52
6,8,144.67
6,9,60.91
7,0,13.6
7,1,16.33
7,2,152.72
7,3,136.28
7,4,40.23
7,5,43.67
7,6,119.52
7,7,0
7,8,31.91
7,9,85.03
8,0,15.29
8,1,17.65
8,2,177.87
8,3,168.01
8,4,44.46
8,5,75.39
8,6,144.67
8,7,31.91
8,8,0
8,9,116.79
9,0,86.86
9,1,101.94
9,2,76.82
9,3,51.67
9,4,126.01
9,5,60.79
9,6,60.91
9,7,85.03
9,8,116.79
9,9,0
