id,I02
SCCs,3
m,1
Lab info
id,Open_time,Working_time,Service_time
0,0,2000,10
SCCs info
id,k,Open_time,Collection_time,Service_time,TmaxSCC,Tmax2Lab,
1,1,450,95,10,180,300
2,1,480,95,10,180,300
3,1,600,95,10,180,300
TravelTime Matrix
i,j,time
0,0,0
0,1,35
0,2,20
0,3,29
1,0,35
1,1,0
1,2,16
1,3,58
2,0,20
2,1,16
2,2,0
2,3,43
3,0,29
3,1,58
3,2,43
3,3,0
Distance Matrix
i,j,Distance
0,0,0
0,1,28.05
0,2,19.4
0,3,30.46
1,0,28.05
1,1,0
1,2,16.88
1,3,67.55
2,0,19.4
2,1,16.88
2,2,0
2,3,50.94
3,0,30.46
3,1,67.55
3,2,50.94
3,3,0
