id,I33
SCCs,13
m,5
Lab info
id,Open_time,Working_time,Service_time
0,0,1440,10
SCCs info
id,k,Open_time,Collection_time,Service_time,TmaxSCC,Tmax2Lab,
1,3,420,480,10,180,345
2,3,450,450,10,180,338
3,2,480,210,10,180,300
4,2,210,660,10,180,525
5,2,360,330,10,180,360
6,2,465,210,10,180,300
7,1,345,90,10,180,300
8,2,345,630,10,180,510
9,4,405,555,10,180,325
10,4,390,540,10,180,320
11,2,90,780,10,180,585
12,4,360,570,10,180,330
13,5,360,750,10,180,338
TravelTime Matrix
i,j,time
0,0,0
0,1,8
0,2,15
0,3,33
0,4,3
0,5,11
0,6,14
0,7,18
0,8,8
0,9,3
0,10,19
0,11,7
0,12,30
0,13,11
1,0,8
1,1,0
1,2,9
1,3,30
1,4,9
1,5,14
1,6,15
1,7,15
1,8,10
1,9,9
1,10,15
1,11,13
1,12,32
1,13,13
2,0,15
2,1,9
2,2,0
2,3,32
2,4,14
2,5,18
2,6,20
2,7,18
2,8,14
2,9,14
2,10,16
2,11,16
2,12,36
2,13,16
3,0,33
3,1,30
3,2,32
3,3,0
3,4,32
3,5,36
3,6,37
3,7,19
3,8,32
3,9,31
3,10,23
3,11,32
3,12,54
3,13,25
4,0,3
4,1,9
4,2,14
4,3,32
4,4,0
4,5,10
4,6,13
4,7,16
4,8,6
4,9,0
4,10,18
4,11,7
4,12,29
4,13,11
5,0,11
5,1,14
5,2,18
5,3,36
5,4,10
5,5,0
5,6,6
5,7,20
5,8,9
5,9,9
5,10,22
5,11,11
5,12,23
5,13,15
6,0,14
6,1,15
6,2,20
6,3,37
6,4,13
6,5,6
6,6,0
6,7,23
6,8,12
6,9,13
6,10,25
6,11,14
6,12,25
6,13,18
7,0,18
7,1,15
7,2,18
7,3,19
7,4,16
7,5,20
7,6,23
7,7,0
7,8,17
7,9,17
7,10,8
7,11,20
7,12,39
7,13,15
8,0,8
8,1,10
8,2,14
8,3,32
8,4,6
8,5,9
8,6,12
8,7,17
8,8,0
8,9,6
8,10,18
8,11,13
8,12,30
8,13,14
9,0,3
9,1,9
9,2,14
9,3,31
9,4,0
9,5,9
9,6,13
9,7,17
9,8,6
9,9,0
9,10,18
9,11,7
9,12,29
9,13,11
10,0,19
10,1,15
10,2,16
10,3,23
10,4,18
10,5,22
10,6,25
10,7,8
10,8,18
10,9,18
10,10,0
10,11,22
10,12,41
10,13,18
11,0,7
11,1,13
11,2,16
11,3,32
11,4,7
11,5,11
11,6,14
11,7,20
11,8,13
11,9,7
11,10,22
11,11,0
11,12,30
11,13,10
12,0,30
12,1,32
12,2,36
12,3,54
12,4,29
12,5,23
12,6,25
12,7,39
12,8,30
12,9,29
12,10,41
12,11,30
12,12,0
12,13,33
13,0,11
13,1,13
13,2,16
13,3,25
13,4,11
13,5,15
13,6,18
13,7,15
13,8,14
13,9,11
13,10,18
13,11,10
13,12,33
13,13,0
Distance Matrix
i,j,Distance
0,0,0
0,1,3.95
0,2,10.44
0,3,29.71
0,4,0.87
0,5,6.86
0,6,10.6
0,7,15.06
0,8,2.64
0,9,1.1
0,10,11.15
0,11,2.62
0,12,33.85
0,13,4.57
1,0,3.95
1,1,0
1,2,8.61
1,3,36.37
1,4,4.99
1,5,11.86
1,6,17.28
1,7,18.21
1,8,6.26
1,9,4.76
1,10,9.31
1,11,7.01
1,12,40.08
1,13,9.15
2,0,10.44
2,1,8.61
2,2,0
2,3,28.16
2,4,15.35
2,5,19.99
2,6,25.41
2,7,23.57
2,8,14.54
2,9,15.11
2,10,8.91
2,11,14.4
2,12,48.21
2,13,14.44
3,0,29.71
3,1,36.37
3,2,28.16
3,3,0
3,4,39.43
3,5,44.08
3,6,49.5
3,7,18.73
3,8,38.63
3,9,39.19
3,10,22.93
3,11,37.73
3,12,72.31
3,13,34.76
4,0,0.87
4,1,4.99
4,2,15.35
4,3,39.43
4,4,0
4,5,6.82
4,6,12.41
4,7,19.72
4,8,2.46
4,9,0.23
4,10,15.93
4,11,5.11
4,12,35.22
4,13,7.32
5,0,6.86
5,1,11.86
5,2,19.99
5,3,44.08
5,4,6.82
5,5,0
5,6,5.07
5,7,27.09
5,8,8.5
5,9,7.24
5,10,23.3
5,11,11.64
5,12,27.84
5,13,13.85
6,0,10.6
6,1,17.28
6,2,25.41
6,3,49.5
6,4,12.41
6,5,5.07
6,6,0
6,7,30.67
6,8,12.06
6,9,12.56
6,10,26.87
6,11,15.2
6,12,30.58
6,13,17.4
7,0,15.06
7,1,18.21
7,2,23.57
7,3,18.73
7,4,19.72
7,5,27.09
7,6,30.67
7,7,0
7,8,20.44
7,9,21.01
7,10,4.76
7,11,20.66
7,12,54.12
7,13,18.08
8,0,2.64
8,1,6.26
8,2,14.54
8,3,38.63
8,4,2.46
8,5,8.5
8,6,12.06
8,7,20.44
8,8,0
8,9,2.25
8,10,15.72
8,11,6.89
8,12,35.79
8,13,10.45
9,0,1.1
9,1,4.76
9,2,15.11
9,3,39.19
9,4,0.23
9,5,7.24
9,6,12.56
9,7,21.01
9,8,2.25
9,9,0
9,10,15.7
9,11,4.88
9,12,34.99
9,13,7.09
10,0,11.15
10,1,9.31
10,2,8.91
10,3,22.93
10,4,15.93
10,5,23.3
10,6,26.87
10,7,4.76
10,8,15.72
10,9,15.7
10,10,0
10,11,16.35
10,12,49.81
10,13,17.25
11,0,2.62
11,1,7.01
11,2,14.4
11,3,37.73
11,4,5.11
11,5,11.64
11,6,15.2
11,7,20.66
11,8,6.89
11,9,4.88
11,10,16.35
11,11,0
11,12,37.44
11,13,3.44
12,0,33.85
12,1,40.08
12,2,48.21
12,3,72.31
12,4,35.22
12,5,27.84
12,6,30.58
12,7,54.12
12,8,35.79
12,9,34.99
12,10,49.81
12,11,37.44
12,12,0
12,13,39.81
13,0,4.57
13,1,9.15
13,2,14.44
13,3,34.76
13,4,7.32
13,5,13.85
13,6,17.4
13,7,18.08
13,8,10.45
13,9,7.09
13,10,17.25
13,11,3.44
13,12,39.81
13,13,0
