id,I27
SCCs,11
m,9
Lab info
id,Open_time,Working_time,Service_time
0,0,2000,10
SCCs info
id,k,Open_time,Collection_time,Service_time,TmaxSCC,Tmax2Lab,
1,2,15,870,10,180,640
2,1,510,95,10,180,300
3,1,390,95,10,180,300
4,1,390,95,10,180,300
5,2,365,455,10,180,420
6,2,251,935,10,180,660
7,2,246,935,10,180,660
8,1,570,95,10,180,300
9,3,207,1100,10,180,555
10,2,255,935,10,180,660
11,4,394,535,10,180,320
TravelTime Matrix
i,j,time
0,0,0
0,1,4
0,2,26
0,3,29
0,4,30
0,5,57
0,6,24
0,7,28
0,8,29
0,9,117
0,10,11
0,11,58
1,0,4
1,1,0
1,2,27
1,3,29
1,4,31
1,5,56
1,6,24
1,7,27
1,8,30
1,9,117
1,10,10
1,11,57
2,0,26
2,1,27
2,2,0
2,3,16
2,4,17
2,5,76
2,6,44
2,7,47
2,8,41
2,9,109
2,10,30
2,11,78
3,0,29
3,1,29
3,2,16
3,3,0
3,4,28
3,5,78
3,6,46
3,7,49
3,8,45
3,9,115
3,10,31
3,11,80
4,0,30
4,1,31
4,2,17
4,3,28
4,4,0
4,5,80
4,6,47
4,7,51
4,8,25
4,9,101
4,10,32
4,11,81
5,0,57
5,1,56
5,2,76
5,3,78
5,4,80
5,5,0
5,6,49
5,7,70
5,8,75
5,9,159
5,10,62
5,11,53
6,0,24
6,1,24
6,2,44
6,3,46
6,4,47
6,5,49
6,6,0
6,7,38
6,8,44
6,9,128
6,10,31
6,11,58
7,0,28
7,1,27
7,2,47
7,3,49
7,4,51
7,5,70
7,6,38
7,7,0
7,8,43
7,9,128
7,10,34
7,11,72
8,0,29
8,1,30
8,2,41
8,3,45
8,4,25
8,5,75
8,6,44
8,7,43
8,8,0
8,9,100
8,10,33
8,11,78
9,0,117
9,1,117
9,2,109
9,3,115
9,4,101
9,5,159
9,6,128
9,7,128
9,8,100
9,9,0
9,10,125
9,11,163
10,0,11
10,1,10
10,2,30
10,3,31
10,4,32
10,5,62
10,6,31
10,7,34
10,8,33
10,9,125
10,10,0
10,11,66
11,0,58
11,1,57
11,2,78
11,3,80
11,4,81
11,5,53
11,6,58
11,7,72
11,8,78
11,9,163
11,10,66
11,11,0
Distance Matrix
i,j,Distance
0,0,0
0,1,1.62
0,2,25.81
0,3,36.56
0,4,32.35
0,5,67.8
0,6,14.79
0,7,30.46
0,8,23.45
0,9,138.79
0,10,4.57
0,11,65.45
1,0,1.62
1,1,0
1,2,37.94
1,3,43.33
1,4,40.85
1,5,75.74
1,6,23.44
1,7,35.17
1,8,29.43
1,9,165.94
1,10,5.4
1,11,73.97
2,0,25.81
2,1,37.94
2,2,0
2,3,15.61
2,4,13.11
2,5,111.5
2,6,59.2
2,7,70.95
2,8,40.81
2,9,142.74
2,10,33.35
2,11,109.73
3,0,36.56
3,1,43.33
3,2,15.61
3,3,0
3,4,29.86
3,5,118.22
3,6,65.92
3,7,77.66
3,8,58.19
3,9,151.84
3,10,36.19
3,11,116.45
4,0,32.35
4,1,40.85
4,2,13.11
4,3,29.86
4,4,0
4,5,114.03
4,6,61.73
4,7,73.48
4,8,28.36
4,9,134.17
4,10,35.43
4,11,112.25
5,0,67.8
5,1,75.74
5,2,111.5
5,3,118.22
5,4,114.03
5,5,0
5,6,56.03
5,7,101.87
5,8,109.08
5,9,232.63
5,10,83.92
5,11,57.29
6,0,14.79
6,1,23.44
6,2,59.2
6,3,65.92
6,4,61.73
6,5,56.03
6,6,0
6,7,49.33
6,8,56.54
6,9,180.08
6,10,31.39
6,11,72.05
7,0,30.46
7,1,35.17
7,2,70.95
7,3,77.66
7,4,73.48
7,5,101.87
7,6,49.33
7,7,0
7,8,62.45
7,9,186.01
7,10,43.76
7,11,99.22
8,0,23.45
8,1,29.43
8,2,40.81
8,3,58.19
8,4,28.36
8,5,109.08
8,6,56.54
8,7,62.45
8,8,0
8,9,133.08
8,10,28.27
8,11,106.46
9,0,138.79
9,1,165.94
9,2,142.74
9,3,151.84
9,4,134.17
9,5,232.63
9,6,180.08
9,7,186.01
9,8,133.08
9,9,0
9,10,163.1
9,11,230.3
10,0,4.57
10,1,5.4
10,2,33.35
10,3,36.19
10,4,35.43
10,5,83.92
10,6,31.39
10,7,43.76
10,8,28.27
10,9,163.1
10,10,0
10,11,81.44
11,0,65.45
11,1,73.97
11,2,109.73
11,3,116.45
11,4,112.25
11,5,57.29
11,6,72.05
11,7,99.22
11,8,106.46
11,9,230.3
11,10,81.44
11,11,0
