id,I15
SCCs,5
m,3
Lab info
id,Open_time,Working_time,Service_time
0,0,2000,10
SCCs info
id,k,Open_time,Collection_time,Service_time,TmaxSCC,Tmax2Lab,
1,4,295,775,10,180,380
2,1,510,95,10,180,300
3,1,390,95,10,180,300
4,1,390,95,10,180,300
5,1,600,95,10,180,300
TravelTime Matrix
i,j,time
0,0,0
0,1,18
0,2,30
0,3,60
0,4,50
0,5,31
1,0,18
1,1,0
1,2,19
1,3,49
1,4,39
1,5,34
2,0,30
2,1,19
2,2,0
2,3,33
2,4,23
2,5,49
3,0,60
3,1,49
3,2,33
3,3,0
3,4,10
3,5,73
4,0,50
4,1,39
4,2,23
4,3,10
4,4,0
4,5,65
5,0,31
5,1,34
5,2,49
5,3,73
5,4,65
5,5,0
Distance Matrix
i,j,Distance
0,0,0
0,1,9.38
0,2,26.72
0,3,51.25
0,4,45.49
0,5,23.45
1,0,9.38
1,1,0
1,2,21.08
1,3,54.13
1,4,44.44
1,5,50.59
2,0,26.72
2,1,21.08
2,2,0
2,3,34.09
2,4,24.4
2,5,69.29
3,0,51.25
3,1,54.13
3,2,34.09
3,3,0
3,4,9.7
3,5,88.9
4,0,45.49
4,1,44.44
4,2,24.4
4,3,9.7
4,4,0
4,5,87.96
5,0,23.45
5,1,50.59
5,2,69.29
5,3,88.9
5,4,87.96
5,5,0
