id,I13
SCCs,4
m,7
Lab info
id,Open_time,Working_time,Service_time
0,0,2000,10
SCCs info
id,k,Open_time,Collection_time,Service_time,TmaxSCC,Tmax2Lab,
1,2,248,935,10,180,660
2,2,246,935,10,180,660
3,2,15,1320,10,180,930
4,2,225,935,10,180,660
TravelTime Matrix
i,j,time
0,0,0
0,1,24
0,2,28
0,3,117
0,4,11
1,0,24
1,1,0
1,2,38
1,3,128
1,4,31
2,0,28
2,1,38
2,2,0
2,3,128
2,4,34
3,0,117
3,1,128
3,2,128
3,3,0
3,4,125
4,0,11
4,1,31
4,2,34
4,3,125
4,4,0
Distance Matrix
i,j,Distance
0,0,0
0,1,14.79
0,2,30.46
0,3,138.79
0,4,4.57
1,0,14.79
1,1,0
1,2,49.33
1,3,180.08
1,4,31.39
2,0,30.46
2,1,49.33
2,2,0
2,3,186.01
2,4,43.76
3,0,138.79
3,1,180.08
3,2,186.01
3,3,0
3,4,163.1
4,0,4.57
4,1,31.39
4,2,43.76
4,3,163.1
4,4,0
