id,I30
SCCs,11
m,6
Lab info
id,Open_time,Working_time,Service_time
0,0,1440,10
SCCs info
id,k,Open_time,Collection_time,Service_time,TmaxSCC,Tmax2Lab,
1,3,426,470,10,180,345
2,3,449,447,10,180,338
3,2,239,665,10,180,525
4,2,465,215,10,180,300
5,1,360,95,10,180,300
6,2,301,635,10,180,510
7,4,381,555,10,180,325
8,4,415,535,10,180,320
9,2,93,785,10,180,585
10,4,375,575,10,180,330
11,5,338,762,10,180,338
TravelTime Matrix
i,j,time
0,0,0
0,1,8
0,2,15
0,3,3
0,4,14
0,5,18
0,6,8
0,7,3
0,8,19
0,9,7
0,10,30
0,11,11
1,0,8
1,1,0
1,2,9
1,3,9
1,4,15
1,5,15
1,6,10
1,7,9
1,8,15
1,9,13
1,10,32
1,11,13
2,0,15
2,1,9
2,2,0
2,3,14
2,4,20
2,5,18
2,6,14
2,7,14
2,8,16
2,9,16
2,10,36
2,11,16
3,0,3
3,1,9
3,2,14
3,3,0
3,4,13
3,5,16
3,6,6
3,7,0
3,8,18
3,9,7
3,10,29
3,11,11
4,0,14
4,1,15
4,2,20
4,3,13
4,4,0
4,5,23
4,6,12
4,7,13
4,8,25
4,9,14
4,10,25
4,11,18
5,0,18
5,1,15
5,2,18
5,3,16
5,4,23
5,5,0
5,6,17
5,7,17
5,8,8
5,9,20
5,10,39
5,11,15
6,0,8
6,1,10
6,2,14
6,3,6
6,4,12
6,5,17
6,6,0
6,7,6
6,8,18
6,9,13
6,10,30
6,11,14
7,0,3
7,1,9
7,2,14
7,3,0
7,4,13
7,5,17
7,6,6
7,7,0
7,8,18
7,9,7
7,10,29
7,11,11
8,0,19
8,1,15
8,2,16
8,3,18
8,4,25
8,5,8
8,6,18
8,7,18
8,8,0
8,9,22
8,10,41
8,11,18
9,0,7
9,1,13
9,2,16
9,3,7
9,4,14
9,5,20
9,6,13
9,7,7
9,8,22
9,9,0
9,10,30
9,11,10
10,0,30
10,1,32
10,2,36
10,3,29
10,4,25
10,5,39
10,6,30
10,7,29
10,8,41
10,9,30
10,10,0
10,11,33
11,0,11
11,1,13
11,2,16
11,3,11
11,4,18
11,5,15
11,6,14
11,7,11
11,8,18
11,9,10
11,10,33
11,11,0
Distance Matrix
i,j,Distance
0,0,0
0,1,3.95
0,2,10.44
0,3,0.87
0,4,10.6
0,5,15.06
0,6,2.64
0,7,1.1
0,8,11.15
0,9,2.62
0,10,33.85
0,11,4.57
1,0,3.95
1,1,0
1,2,8.61
1,3,4.99
1,4,17.28
1,5,18.21
1,6,6.26
1,7,4.76
1,8,9.31
1,9,7.01
1,10,40.08
1,11,9.15
2,0,10.44
2,1,8.61
2,2,0
2,3,15.35
2,4,25.41
2,5,23.57
2,6,14.54
2,7,15.11
2,8,8.91
2,9,14.4
2,10,48.21
2,11,14.44
3,0,0.87
3,1,4.99
3,2,15.35
3,3,0
3,4,12.41
3,5,19.72
3,6,2.46
3,7,0.23
3,8,15.93
3,9,5.11
3,10,35.22
3,11,7.32
4,0,10.6
4,1,17.28
4,2,25.41
4,3,12.41
4,4,0
4,5,30.67
4,6,12.06
4,7,12.56
4,8,26.87
4,9,15.2
4,10,30.58
4,11,17.4
5,0,15.06
5,1,18.21
5,2,23.57
5,3,19.72
5,4,30.67
5,5,0
5,6,20.44
5,7,21.01
5,8,4.76
5,9,20.66
5,10,54.12
5,11,18.08
6,0,2.64
6,1,6.26
6,2,14.54
6,3,2.46
6,4,12.06
6,5,20.44
6,6,0
6,7,2.25
6,8,15.72
6,9,6.89
6,10,35.79
6,11,10.45
7,0,1.1
7,1,4.76
7,2,15.11
7,3,0.23
7,4,12.56
7,5,21.01
7,6,2.25
7,7,0
7,8,15.7
7,9,4.88
7,10,34.99
7,11,7.09
8,0,11.15
8,1,9.31
8,2,8.91
8,3,15.93
8,4,26.87
8,5,4.76
8,6,15.72
8,7,15.7
8,8,0
8,9,16.35
8,10,49.81
8,11,17.25
9,0,2.62
9,1,7.01
9,2,14.4
9,3,5.11
9,4,15.2
9,5,20.66
9,6,6.89
9,7,4.88
9,8,16.35
9,9,0
9,10,37.44
9,11,3.44
10,0,33.85
10,1,40.08
10,2,48.21
10,3,35.22
10,4,30.58
10,5,54.12
10,6,35.79
10,7,34.99
10,8,49.81
10,9,37.44
10,10,0
10,11,39.81
11,0,4.57
11,1,9.15
11,2,14.44
11,3,7.32
11,4,17.4
11,5,18.08
11,6,10.45
11,7,7.09
11,8,17.25
11,9,3.44
11,10,39.81
11,11,0
