id,I22
SCCs,8
m,3
Lab info
id,Open_time,Working_time,Service_time
0,0,1440,10
SCCs info
id,k,Open_time,Collection_time,Service_time,TmaxSCC,Tmax2Lab,
1,1,675,95,10,180,300
2,1,600,95,10,180,300
3,1,360,95,10,180,300
4,2,373,635,10,180,510
5,2,407,375,10,180,380
6,2,83,785,10,180,585
7,2,375,395,10,180,390
8,2,350,455,10,180,420
TravelTime Matrix
i,j,time
0,0,0
0,1,8
0,2,15
0,3,18
0,4,8
0,5,19
0,6,7
0,7,30
0,8,11
1,0,8
1,1,0
1,2,9
1,3,15
1,4,10
1,5,15
1,6,13
1,7,32
1,8,13
2,0,15
2,1,9
2,2,0
2,3,18
2,4,14
2,5,16
2,6,16
2,7,36
2,8,16
3,0,18
3,1,15
3,2,18
3,3,0
3,4,17
3,5,8
3,6,20
3,7,39
3,8,15
4,0,8
4,1,10
4,2,14
4,3,17
4,4,0
4,5,18
4,6,13
4,7,30
4,8,14
5,0,19
5,1,15
5,2,16
5,3,8
5,4,18
5,5,0
5,6,22
5,7,41
5,8,18
6,0,7
6,1,13
6,2,16
6,3,20
6,4,13
6,5,22
6,6,0
6,7,30
6,8,10
7,0,30
7,1,32
7,2,36
7,3,39
7,4,30
7,5,41
7,6,30
7,7,0
7,8,33
8,0,11
8,1,13
8,2,16
8,3,15
8,4,14
8,5,18
8,6,10
8,7,33
8,8,0
Distance Matrix
i,j,Distance
0,0,0
0,1,3.95
0,2,10.44
0,3,15.06
0,4,2.64
0,5,11.15
0,6,2.62
0,7,33.85
0,8,4.57
1,0,3.95
1,1,0
1,2,8.61
1,3,18.21
1,4,6.26
1,5,9.31
1,6,7.01
1,7,40.08
1,8,9.15
2,0,10.44
2,1,8.61
2,2,0
2,3,23.57
2,4,14.54
2,5,8.91
2,6,14.4
2,7,48.21
2,8,14.44
3,0,15.06
3,1,18.21
3,2,23.57
3,3,0
3,4,20.44
3,5,4.76
3,6,20.66
3,7,54.12
3,8,18.08
4,0,2.64
4,1,6.26
4,2,14.54
4,3,20.44
4,4,0
4,5,15.72
4,6,6.89
4,7,35.79
4,8,10.45
5,0,11.15
5,1,9.31
5,2,8.91
5,3,4.76
5,4,15.72
5,5,0
5,6,16.35
5,7,49.81
5,8,17.25
6,0,2.62
6,1,7.01
6,2,14.4
6,3,20.66
6,4,6.89
6,5,16.35
6,6,0
6,7,37.44
6,8,3.44
7,0,33.85
7,1,40.08
7,2,48.21
7,3,54.12
7,4,35.79
7,5,49.81
7,6,37.44
7,7,0
7,8,39.81
8,0,4.57
8,1,9.15
8,2,14.44
8,3,18.08
8,4,10.45
8,5,17.25
8,6,3.44
8,7,39.81
8,8,0
