id,I20
SCCs,6
m,4
Lab info
id,Open_time,Working_time,Service_time
0,0,2000,10
SCCs info
id,k,Open_time,Collection_time,Service_time,TmaxSCC,Tmax2Lab,
1,3,337,672,10,180,413
2,2,315,415,10,180,400
3,2,325,415,10,180,400
4,1,540,95,10,180,300
5,2,398,415,10,180,400
6,1,585,95,10,180,300
TravelTime Matrix
i,j,time
0,0,0
0,1,20
0,2,5
0,3,28
0,4,38
0,5,25
0,6,19
1,0,20
1,1,0
1,2,21
1,3,26
1,4,25
1,5,26
1,6,33
2,0,5
2,1,21
2,2,0
2,3,26
2,4,34
2,5,21
2,6,22
3,0,28
3,1,26
3,2,26
3,3,0
3,4,39
3,5,39
3,6,33
4,0,38
4,1,25
4,2,34
4,3,39
4,4,0
4,5,23
4,6,46
5,0,25
5,1,26
5,2,21
5,3,39
5,4,23
5,5,0
5,6,38
6,0,19
6,1,33
6,2,22
6,3,33
6,4,46
6,5,38
6,6,0
Distance Matrix
i,j,Distance
0,0,0
0,1,16.48
0,2,1.52
0,3,23.8
0,4,38.58
0,5,14.33
0,6,17.33
1,0,16.48
1,1,0
1,2,26.03
1,3,28.93
1,4,30.77
1,5,31.81
1,6,40.04
2,0,1.52
2,1,26.03
2,2,0
2,3,28.73
2,4,35.09
2,5,18.21
2,6,21.79
3,0,23.8
3,1,28.93
3,2,28.73
3,3,0
3,4,51.83
3,5,51.35
3,6,34.03
4,0,38.58
4,1,30.77
4,2,35.09
4,3,51.83
4,4,0
4,5,27.69
4,6,62.78
5,0,14.33
5,1,31.81
5,2,18.21
5,3,51.35
5,4,27.69
5,5,0
5,6,38.44
6,0,17.33
6,1,40.04
6,2,21.79
6,3,34.03
6,4,62.78
6,5,38.44
6,6,0
