Log for instance I01
Total time (s);19.328;Iterations;8
SCC;2;Number of TR;69
Maximum commodity time; 660 minutes;dk;15;;MIP solution time limit;3600 s
Initial grouping;Final grouping
3;11
Log for commodities grouping
commodity iteration;iteration;Lower Bound;Best Lower Bound;Upper Bound;RelativeGap;infactibility;type;SKid;CGinitial;CG;time (s);Picks
1;2;130.0;130.0;270;107.6923076923077;450;1;3;3;5;0.115
2;4;150.0;150.0;270;80.0;315;2;2;5;7;0.035
3;5;250.0;250.0;270;8.0;210;1;3;7;9;0.047
4;7;250.0;250.0;270;8.0;90;1;1;9;11;0.087
Log for partial expanded
iteration;Lower Bound;Best Lower Bound;Upper Bound;RelativeGap;NEinitial;NEfinal;number of infeasible arcs;time (s); k iteration; infactibility; SKid;Picks
1;130.0;130.0;270;107.6923076923077;14;17;2;3.453;3;450;3
2;130.0;130.0;270;107.6923076923077;23;23;0;0.115;5;450;3
3;150.0;150.0;270;80.0;23;26;2;0.04;5;195;2
4;150.0;150.0;270;80.0;32;32;0;0.035;7;315;2
5;250.0;250.0;270;8.0;38;38;0;0.047;9;210;3
6;250.0;250.0;270;8.0;38;40;1;0.075;9;90;1
7;250.0;250.0;270;8.0;46;46;0;0.087;11;90;1
